OrderID,Customer,Item,Quantity,Price,OrderDate,Cancelled_Flag
O2001,Customer_2,Mouse,2,1679.54,2025-08-02 01:38:00,1
O2002,Customer_2,Monitor,1,121.69,2025-08-02 16:47:00,0
O2003,Customer_1,Monitor,2,1729.39,2025-08-02 13:15:00,0
O2100,Customer_3,Monitor,2,1000.00,2025-08-06 12:00:00,1
O2101,Customer_4,Monitor,3,1901.7,2025-08-06 13:00:00,0
O2102,Customer_2,Keyboard,1,1314.52,2025-08-06 14:00:00,1
O2103,Customer_2,Monitor,1,498.44,2025-08-06 15:00:00,0
O2104,Customer_1,Mouse,2,691.07,2025-08-06 16:00:00,1
O2105,Customer_5,Laptop,5,1491.08,2025-08-06 17:00:00,0
O2106,Customer_2,Headphones,1,1623.36,2025-08-06 18:00:00,1
O2107,Customer_1,Keyboard,1,1465.93,2025-08-06 19:00:00,0
O2108,Customer_1,Headphones,1,994.24,2025-08-06 20:00:00,1
O2109,Customer_3,Keyboard,3,99.16,2025-08-06 21:00:00,0
O2110,Customer_4,Headphones,5,1712.9,2025-08-06 22:00:00,1
O2111,Customer_5,Mouse,2,850.00,2025-08-06 23:00:00,0
O2112,Customer_3,Laptop,1,2100.50,2025-08-07 00:00:00,1
O2113,Customer_2,Monitor,2,1200.00,2025-08-07 01:00:00,0
O2114,Customer_1,Monitor,1,500.00,2025-08-07 02:00:00,1
O2115,Customer_3,Mouse,2,650.00,2025-08-07 03:00:00,0
O2116,Customer_4,Laptop,1,2000.00,2025-08-07 04:00:00,1
O2117,Customer_5,Keyboard,3,1200.00,2025-08-07 05:00:00,0
O2118,Customer_2,Headphones,2,800.00,2025-08-07 06:00:00,1
O2119,Customer_1,Mouse,1,400.00,2025-08-07 07:00:00,0
O2120,Customer_3,Monitor,2,1000.00,2025-08-07 08:00:00,1
O2121,Customer_4,Headphones,1,600.00,2025-08-07 09:00:00,0
O2122,Customer_5,Laptop,2,1800.00,2025-08-07 10:00:00,1
O2123,Customer_2,Keyboard,1,700.00,2025-08-07 11:00:00,0
O2124,Customer_1,Monitor,3,1500.00,2025-08-07 12:00:00,1
O2125,Customer_3,Mouse,2,650.00,2025-08-07 13:00:00,0
O2126,Customer_4,Laptop,1,2000.00,2025-08-07 14:00:00,1
O2127,Customer_5,Keyboard,3,1200.00,2025-08-07 15:00:00,0
O2128,Customer_2,Headphones,2,800.00,2025-08-07 16:00:00,1
O2129,Customer_1,Mouse,1,400.00,2025-08-07 17:00:00,0
O2130,Customer_3,Monitor,2,1000.00,2025-08-07 18:00:00,1
O2131,Customer_4,Headphones,1,600.00,2025-08-07 19:00:00,0
O2132,Customer_5,Laptop,2,1800.00,2025-08-07 20:00:00,1
O2133,Customer_2,Keyboard,1,700.00,2025-08-07 21:00:00,0
O2134,Customer_1,Monitor,3,1500.00,2025-08-07 22:00:00,1
O2135,Customer_3,Mouse,2,650.00,2025-08-07 23:00:00,0
O2136,Customer_4,Laptop,1,2000.00,2025-08-08 00:00:00,1
O2137,Customer_5,Keyboard,3,1200.00,2025-08-08 01:00:00,0
O2138,Customer_2,Headphones,2,800.00,2025-08-08 02:00:00,1
O2139,Customer_1,Mouse,1,400.00,2025-08-08 03:00:00,0
O2140,Customer_3,Monitor,2,1000.00,2025-08-08 04:00:00,1
O2141,Customer_4,Headphones,1,600.00,2025-08-08 05:00:00,0
O2142,Customer_5,Laptop,2,1800.00,2025-08-08 06:00:00,1
O2143,Customer_2,Keyboard,1,700.00,2025-08-08 07:00:00,0
O2144,Customer_1,Monitor,3,1500.00,2025-08-08 08:00:00,1
O2145,Customer_3,Mouse,2,650.00,2025-08-08 09:00:00,0
O2146,Customer_4,Laptop,1,2000.00,2025-08-08 10:00:00,1
O2147,Customer_5,Keyboard,3,1200.00,2025-08-08 11:00:00,0
O2148,Customer_2,Headphones,2,800.00,2025-08-08 12:00:00,1
O2149,Customer_1,Mouse,1,400.00,2025-08-08 13:00:00,0
O2150,Customer_3,Monitor,2,1000.00,2025-08-08 14:00:00,1
O2151,Customer_4,Headphones,1,600.00,2025-08-08 15:00:00,0
O2152,Customer_5,Laptop,2,1800.00,2025-08-08 16:00:00,1
O2153,Customer_2,Keyboard,1,700.00,2025-08-08 17:00:00,0
O2154,Customer_1,Monitor,3,1500.00,2025-08-08 18:00:00,1
O2155,Customer_3,Mouse,2,650.00,2025-08-08 19:00:00,0
O2156,Customer_4,Laptop,1,2000.00,2025-08-08 20:00:00,1
O2157,Customer_5,Keyboard,3,1200.00,2025-08-08 21:00:00,0
O2158,Customer_2,Headphones,2,800.00,2025-08-08 22:00:00,1
O2159,Customer_1,Mouse,1,400.00,2025-08-08 23:00:00,0
O2160,Customer_3,Monitor,2,1000.00,2025-08-09 00:00:00,1
O2161,Customer_4,Headphones,1,600.00,2025-08-09 01:00:00,0
O2162,Customer_5,Laptop,2,1800.00,2025-08-09 02:00:00,1
O2163,Customer_2,Keyboard,1,700.00,2025-08-09 03:00:00,0
O2164,Customer_1,Monitor,3,1500.00,2025-08-09 04:00:00,1
O2165,Customer_3,Mouse,2,650.00,2025-08-09 05:00:00,0
O2166,Customer_4,Laptop,1,2000.00,2025-08-09 06:00:00,1
O2167,Customer_5,Keyboard,3,1200.00,2025-08-09 07:00:00,0
O2168,Customer_2,Headphones,2,800.00,2025-08-09 08:00:00,1
O2169,Customer_1,Mouse,1,400.00,2025-08-09 09:00:00,0
O2170,Customer_3,Monitor,2,1000.00,2025-08-09 10:00:00,1
O2171,Customer_4,Headphones,1,600.00,2025-08-09 11:00:00,0
O2172,Customer_5,Laptop,2,1800.00,2025-08-09 12:00:00,1
O2173,Customer_2,Keyboard,1,700.00,2025-08-09 13:00:00,0
O2174,Customer_1,Monitor,3,1500.00,2025-08-09 14:00:00,1
O2175,Customer_3,Mouse,2,650.00,2025-08-09 15:00:00,0
O2176,Customer_4,Laptop,1,2000.00,2025-08-09 16:00:00,1
O2177,Customer_5,Keyboard,3,1200.00,2025-08-09 17:00:00,0
O2178,Customer_2,Headphones,2,800.00,2025-08-09 18:00:00,1
O2179,Customer_1,Mouse,1,400.00,2025-08-09 19:00:00,0
O2180,Customer_3,Monitor,2,1000.00,2025-08-09 20:00:00,1
O2181,Customer_4,Headphones,1,600.00,2025-08-09 21:00:00,0
O2182,Customer_5,Laptop,2,1800.00,2025-08-09 22:00:00,1
O2183,Customer_2,Keyboard,1,700.00,2025-08-09 23:00:00,0
O2184,Customer_1,Monitor,3,1500.00,2025-08-10 00:00:00,1
O2185,Customer_3,Mouse,2,650.00,2025-08-10 01:00:00,0
O2186,Customer_4,Laptop,1,2000.00,2025-08-10 02:00:00,1
O2187,Customer_5,Keyboard,3,1200.00,2025-08-10 03:00:00,0
O2188,Customer_2,Headphones,2,800.00,2025-08-10 04:00:00,1
O2189,Customer_1,Mouse,1,400.00,2025-08-10 05:00:00,0
O2190,Customer_3,Monitor,2,1000.00,2025-08-10 06:00:00,1
O2191,Customer_4,Headphones,1,600.00,2025-08-10 07:00:00,0
O2192,Customer_5,Laptop,2,1800.00,2025-08-10 08:00:00,1
O2193,Customer_2,Keyboard,1,700.00,2025-08-10 09:00:00,0
O2194,Customer_1,Monitor,3,1500.00,2025-08-10 10:00:00,1
O2195,Customer_3,Mouse,2,650.00,2025-08-10 11:00:00,0
O2196,Customer_4,Laptop,1,2000.00,2025-08-10 12:00:00,1
O2197,Customer_5,Keyboard,3,1200.00,2025-08-10 13:00:00,0
O2198,Customer_2,Headphones,2,800.00,2025-08-10 14:00:00,1
O2199,Customer_1,Mouse,1,400.00,2025-08-10 15:00:00,0
O2200,Customer_3,Monitor,2,1000.00,2025-08-10 16:00:00,1
O2004,Customer_5,Headphones,2,1341.42,2025-08-02 02:09:00,0
O2005,Customer_1,Laptop,4,558.29,2025-08-02 16:34:00,0
O2006,Customer_4,Keyboard,4,1827.75,2025-08-02 23:45:00,1
O2007,Customer_2,Headphones,5,582.69,2025-08-02 02:07:00,1
O2008,Customer_5,Laptop,5,1318.81,2025-08-02 21:02:00,0
O2009,Customer_1,Keyboard,1,1278.13,2025-08-02 11:24:00,0
O2010,Customer_3,Monitor,5,1135.39,2025-08-02 06:32:00,0
O2011,Customer_4,Mouse,3,900.00,2025-08-02 19:45:00,0
O2012,Customer_2,Laptop,2,2200.00,2025-08-02 20:30:00,1
O2013,Customer_5,Headphones,1,750.00,2025-08-02 21:10:00,0
