OrderID,Customer,Item,Quantity,Price,OrderDate
O1001,Customer_4,Monitor,3,1901.7,2025-08-01 11:11:00
O1002,Customer_2,Keyboard,1,1314.52,2025-08-01 01:10:00
O1003,Customer_2,Monitor,1,498.44,2025-08-01 02:27:00
O1004,Customer_1,Mouse,2,691.07,2025-08-01 00:59:00
O1005,Customer_5,Laptop,5,1491.08,2025-08-01 02:51:00
O1006,Customer_2,Headphones,1,1623.36,2025-08-01 10:47:00
O1007,Customer_1,Keyboard,1,1465.93,2025-08-01 06:15:00
O1008,Customer_1,Headphones,1,994.24,2025-08-01 17:28:00
O1009,Customer_3,Keyboard,3,99.16,2025-08-01 18:48:00
O1010,Customer_4,Headphones,5,1712.9,2025-08-01 05:56:00
O1011,Customer_5,Mouse,2,850.00,2025-08-01 19:30:00
O1012,Customer_3,Laptop,1,2100.50,2025-08-01 20:15:00
O1013,Customer_2,Monitor,2,1200.00,2025-08-01 21:00:00
O1100,Customer_3,Monitor,2,1000.00,2025-08-05 12:00:00
O1101,Customer_4,Monitor,3,1901.7,2025-08-06 13:00:00
O1102,Customer_2,Keyboard,1,1314.52,2025-08-06 14:00:00
O1103,Customer_2,Monitor,1,498.44,2025-08-06 15:00:00
O1104,Customer_1,Mouse,2,691.07,2025-08-06 16:00:00
O1105,Customer_5,Laptop,5,1491.08,2025-08-06 17:00:00
O1106,Customer_2,Headphones,1,1623.36,2025-08-06 18:00:00
O1107,Customer_1,Keyboard,1,1465.93,2025-08-06 19:00:00
O1108,Customer_1,Headphones,1,994.24,2025-08-06 20:00:00
O1109,Customer_3,Keyboard,3,99.16,2025-08-06 21:00:00
O1110,Customer_4,Headphones,5,1712.9,2025-08-06 22:00:00
O1111,Customer_5,Mouse,2,850.00,2025-08-06 23:00:00
O1112,Customer_3,Laptop,1,2100.50,2025-08-07 00:00:00
O1113,Customer_2,Monitor,2,1200.00,2025-08-07 01:00:00
O1114,Customer_1,Monitor,1,500.00,2025-08-07 02:00:00
O1115,Customer_3,Mouse,2,650.00,2025-08-07 03:00:00
O1116,Customer_4,Laptop,1,2000.00,2025-08-07 04:00:00
O1117,Customer_5,Keyboard,3,1200.00,2025-08-07 05:00:00
O1118,Customer_2,Headphones,2,800.00,2025-08-07 06:00:00
O1119,Customer_1,Mouse,1,400.00,2025-08-07 07:00:00
O1120,Customer_3,Monitor,2,1000.00,2025-08-07 08:00:00
O1121,Customer_4,Headphones,1,600.00,2025-08-07 09:00:00
O1122,Customer_5,Laptop,2,1800.00,2025-08-07 10:00:00
O1123,Customer_2,Keyboard,1,700.00,2025-08-07 11:00:00
O1124,Customer_1,Monitor,3,1500.00,2025-08-07 12:00:00
O1125,Customer_3,Mouse,2,650.00,2025-08-07 13:00:00
O1126,Customer_4,Laptop,1,2000.00,2025-08-07 14:00:00
O1127,Customer_5,Keyboard,3,1200.00,2025-08-07 15:00:00
O1128,Customer_2,Headphones,2,800.00,2025-08-07 16:00:00
O1129,Customer_1,Mouse,1,400.00,2025-08-07 17:00:00
O1130,Customer_3,Monitor,2,1000.00,2025-08-07 18:00:00
O1131,Customer_4,Headphones,1,600.00,2025-08-07 19:00:00
O1132,Customer_5,Laptop,2,1800.00,2025-08-07 20:00:00
O1133,Customer_2,Keyboard,1,700.00,2025-08-07 21:00:00
O1134,Customer_1,Monitor,3,1500.00,2025-08-07 22:00:00
O1135,Customer_3,Mouse,2,650.00,2025-08-07 23:00:00
O1136,Customer_4,Laptop,1,2000.00,2025-08-08 00:00:00
O1137,Customer_5,Keyboard,3,1200.00,2025-08-08 01:00:00
O1138,Customer_2,Headphones,2,800.00,2025-08-08 02:00:00
O1139,Customer_1,Mouse,1,400.00,2025-08-08 03:00:00
O1140,Customer_3,Monitor,2,1000.00,2025-08-08 04:00:00
O1141,Customer_4,Headphones,1,600.00,2025-08-08 05:00:00
O1142,Customer_5,Laptop,2,1800.00,2025-08-08 06:00:00
O1143,Customer_2,Keyboard,1,700.00,2025-08-08 07:00:00
O1144,Customer_1,Monitor,3,1500.00,2025-08-08 08:00:00
O1145,Customer_3,Mouse,2,650.00,2025-08-08 09:00:00
O1146,Customer_4,Laptop,1,2000.00,2025-08-08 10:00:00
O1147,Customer_5,Keyboard,3,1200.00,2025-08-08 11:00:00
O1148,Customer_2,Headphones,2,800.00,2025-08-08 12:00:00
O1149,Customer_1,Mouse,1,400.00,2025-08-08 13:00:00
O1150,Customer_3,Monitor,2,1000.00,2025-08-08 14:00:00
O1151,Customer_4,Headphones,1,600.00,2025-08-08 15:00:00
O1152,Customer_5,Laptop,2,1800.00,2025-08-08 16:00:00
O1153,Customer_2,Keyboard,1,700.00,2025-08-08 17:00:00
O1154,Customer_1,Monitor,3,1500.00,2025-08-08 18:00:00
O1155,Customer_3,Mouse,2,650.00,2025-08-08 19:00:00
O1156,Customer_4,Laptop,1,2000.00,2025-08-08 20:00:00
O1157,Customer_5,Keyboard,3,1200.00,2025-08-08 21:00:00
O1158,Customer_2,Headphones,2,800.00,2025-08-08 22:00:00
O1159,Customer_1,Mouse,1,400.00,2025-08-08 23:00:00
O1160,Customer_3,Monitor,2,1000.00,2025-08-09 00:00:00
O1161,Customer_4,Headphones,1,600.00,2025-08-09 01:00:00
O1162,Customer_5,Laptop,2,1800.00,2025-08-09 02:00:00
O1163,Customer_2,Keyboard,1,700.00,2025-08-09 03:00:00
O1164,Customer_1,Monitor,3,1500.00,2025-08-09 04:00:00
O1165,Customer_3,Mouse,2,650.00,2025-08-09 05:00:00
O1166,Customer_4,Laptop,1,2000.00,2025-08-09 06:00:00
O1167,Customer_5,Keyboard,3,1200.00,2025-08-09 07:00:00
O1168,Customer_2,Headphones,2,800.00,2025-08-09 08:00:00
